"   ","OWNER_CODE"
"1402","CSUU"
"1403","MSUU"
"1404","PNMU"
"1405","TORO"
"1406","DCRU"
"1407","XCMU"
"1408","TDTU"
"1409","SPTU"
"1410","SHPU"
"1411","ZLZU"
"1412","ROLU"
"1413","YSDU"
"1414","NKCU"
"1415","KTWU"
"1416","CDEU"
"1417","JHGU"
"1418","NQIU"
"1419","VERU"
"1420","SPSU"
"1421","RZHU"
"1422","VHSU"
"1423","RSSU"
"1424","GNCU"
"1425","GLQU"
"1426","KNCU"
"1427","HALU"
"1428","SPCU"
"1429","HCIU"
"1430","TRKU"
"1431","ICOU"
"1432","MCRU"
"1433","YANU"
"1434","FSKU"
"1435","TBCU"
"1436","OKZU"
"1437","KWMU"
"1438","TCCU"
"1439","TMLU"
"1440","BRFU"
"1441","GRPU"
"1442","KHFU"
"1443","MOOU"
"1444","KOSU"
"1445","5507"
"1446","KUDU"
"1447","YKTU"
"1448","COOU"
"1449","MBOU"
"1450","SATU"
"1451","HSCU"
"1452","4788"
"1453","SOCU"
"1454","AUDU"
"1455","JLXU"
"1456","MBLU"
"1457","JWCU"
"1458","XPOU"
"1459","RPAK"
"1460","FFMU"
"1461","T250"
"1462","DHCU"
"1463","JGHU"
"1464","FCGU"
"1465","HCHU"
"1466","MBHU"
"1467","CCCU"
"1468","CRAU"
"1469","ICBU"
"1470","GSPU"
"1471","GPIU"
"1472","T805"
"1473","ATTU"
"1474","CFCU"
"1475","PAAU"
"1476","ALPG"
"1477","NHCU"
"1478","NSCU"
"1479","HKMU"
"1480","LSSU"
"1481","SNLU"
"1482","CLDU"
"1483","XASP"
"1484","MAEU"
"1485","APHU"
"1486","KKTU"
"1487","NCCU"
"1488","WFHU"
"1489","NNAU"
"1490","DYLU"
"1491","FRLU"
"1492","CRWU"
"1493","KNLU"
"1494","TCIU"
"1495","TKRU"
"1496","KHJU"
"1497","MTBU"
"1498","CDKU"
"1499","LHGU"
"1500","BNFU"
"1501","TMCU"
"1502","SLWU"
"1503","ITLU"
"1504","AUMU"
"1505","MGNU"
"1506","YHLU"
"1507","FSMU"
"1508","SARU"
"1509","VDLU"
"1510","SCCU"
"1511","BBTU"
"1512","PGFU"
"1513","ACEU"
"1514","7111"
"1515","4286"
